,trial_day,time_spent,variation
0,0,"57,6",Control
1,1,"55,0",Control
2,2,"26,6",Control
3,3,"26,2",Control
4,4,"55,5",Control
5,5,"36,3",Control
6,6,"40,3",Control
7,7,"52,8",Control
8,8,"57,4",Control
9,9,"39,9",Control
10,10,"42,7",Control
11,11,"51,2",Control
12,12,"32,4",Control
13,13,"48,9",Control
14,14,"51,3",Control
15,15,"51,8",Control
16,16,"48,8",Control
17,17,"44,1",Control
18,18,"45,9",Control
19,19,"41,7",Control
20,20,"43,0",Control
21,21,"52,6",Control
22,22,"49,1",Control
23,23,"51,7",Control
24,24,"45,6",Control
25,25,"49,3",Control
26,26,"44,4",Control
27,27,"47,7",Control
28,28,"50,4",Control
29,29,"53,4",Control
30,30,"55,9",Control
31,31,"55,5",Control
32,32,"51,2",Control
33,33,"45,6",Control
34,34,"47,4",Control
35,35,"53,3",Control
36,36,"51,6",Control
37,37,"43,4",Control
38,38,"54,4",Control
39,39,"45,1",Control
40,40,"52,3",Control
41,41,"46,8",Control
42,42,"36,1",Control
43,43,"46,1",Control
44,44,"42,3",Control
45,45,"59,7",Control
46,46,"33,7",Control
47,47,"42,1",Control
48,48,"38,2",Control
49,49,"42,3",Control
50,50,"54,3",Control
51,51,"40,8",Control
52,52,"38,7",Control
53,53,"50,1",Control
54,54,"41,0",Control
55,55,"54,3",Control
56,56,"54,9",Control
57,57,"49,5",Control
58,58,"54,5",Control
59,59,"40,2",Control
60,60,"51,2",Control
61,61,"41,1",Control
62,62,"52,3",Control
63,63,"45,6",Control
64,64,"40,3",Control
65,65,"51,3",Control
66,66,"52,7",Control
67,67,"42,6",Control
68,68,"41,7",Control
69,69,"36,3",Control
70,70,"57,7",Control
71,71,"53,0",Control
72,72,"46,3",Control
73,73,"32,8",Control
74,74,"61,6",Control
75,75,"43,3",Control
76,76,"45,1",Control
77,77,"46,0",Control
78,78,"52,9",Control
79,79,"48,5",Control
80,80,"55,7",Control
81,81,"45,6",Control
82,82,"53,2",Control
83,83,"44,7",Control
84,84,"52,5",Control
85,85,"71,3",Control
86,86,"42,8",Control
87,87,"33,6",Control
88,88,"42,9",Control
89,89,"36,0",Control
90,90,"44,5",Control
91,91,"54,0",Control
92,92,"44,0",Control
93,93,"41,0",Control
94,94,"40,6",Control
95,95,"53,7",Control
96,96,"45,2",Control
97,97,"43,2",Control
98,0,"53,1",Test
99,1,"57,1",Test
100,2,"40,0",Test
101,3,"75,7",Test
102,4,"61,3",Test
103,5,"28,4",Test
104,6,"41,5",Test
105,7,"57,1",Test
106,8,"48,2",Test
107,9,"32,6",Test
108,10,"52,2",Test
109,11,"40,1",Test
110,12,"23,8",Test
111,13,"45,9",Test
112,14,"53,4",Test
113,15,"49,9",Test
114,16,"53,7",Test
115,17,"49,6",Test
116,18,"53,7",Test
117,19,"50,0",Test
118,20,"45,9",Test
119,21,"51,9",Test
120,22,"51,2",Test
121,23,"50,9",Test
122,24,"45,5",Test
123,25,"52,8",Test
124,26,"53,5",Test
125,27,"56,1",Test
126,28,"59,1",Test
127,29,"52,9",Test
128,30,"53,9",Test
129,31,"63,6",Test
130,32,"57,9",Test
131,33,"47,1",Test
132,34,"58,1",Test
133,35,"61,4",Test
134,36,"55,5",Test
135,37,"54,4",Test
136,38,"64,6",Test
137,39,"59,1",Test
138,40,"48,9",Test
139,41,"48,9",Test
140,42,"57,9",Test
141,43,"46,2",Test
142,44,"54,6",Test
143,45,"32,8",Test
144,46,"52,1",Test
145,47,"44,4",Test
146,48,"45,5",Test
147,49,"62,1",Test
148,50,"52,2",Test
149,51,"54,8",Test
150,52,"44,9",Test
151,53,"50,8",Test
152,54,"55,0",Test
153,55,"62,3",Test
154,56,"42,0",Test
155,57,"42,8",Test
156,58,"52,9",Test
157,59,"48,4",Test
158,60,"58,2",Test
159,61,"44,2",Test
160,62,"44,9",Test
161,63,"82,8",Test
162,64,"42,5",Test
163,65,"45,3",Test
164,66,"48,7",Test
165,67,"48,2",Test
166,68,"46,7",Test
167,69,"44,5",Test
168,70,"41,0",Test
169,71,"44,4",Test
170,72,"65,6",Test
171,73,"35,3",Test
172,74,"46,7",Test
173,75,"47,2",Test
174,76,"38,0",Test
175,77,"44,1",Test
176,78,"50,5",Test
177,79,"42,8",Test
178,80,"47,0",Test
179,81,"43,9",Test
180,82,"45,7",Test
181,83,"56,4",Test
182,84,"44,0",Test
183,85,"47,4",Test
184,86,"42,5",Test
185,87,"41,9",Test
186,88,"47,0",Test
187,89,"44,8",Test
188,90,"39,9",Test
189,91,"46,7",Test
190,92,"51,5",Test
191,93,"59,8",Test
192,94,"52,4",Test
193,95,"42,1",Test
194,96,"44,4",Test
195,97,"45,9",Test
